'ID';'НАЗВАНИЕ';'СТУДИЯ';'ГОД ПРОИЗВОДСТВА';'РЕЖИССЁР';'СЦЕНАРИСТ';'ОПЕРАТОР';'ВОЗРАСТНАЯ КАТЕГОРИЯ';'ЖАНР';'СТРАНА';'КАТЕГОРИЯ';'ЦЕНА';'СЕБЕСТОИМОСТЬ';'СТАТУС'
'2163433';'Ментовские войны - 7 (17- 24 серии)';'ООО "Студия "Панорама"';'2013';'Д.Скворцов';'М.Езупов (псевдоним М.Есаулов), А.Романов, С.Хоружик (псевдоним С.Майоров), А.Орлов';'М.Ксенофонтов';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Видео';'451.0';'376.0';'o'
'2163434';'Дом для перемещенных лиц';'ООО "Лотос Вижн"';'2013';'А.Боева';'Н.Иванова';'В.Ямщиков, И.Морин';'«0+» для любой зрительской аудитории';'Документальный';'Россия';'Видео';'470.0';'392.0';'o'
'2163435';'DED_005';'ООО "СинеПро"';'2013';'А.Григорян, М.Мкртчян';'М.Мкртчян';'А.Федоров, А.Хачатурян';'«12+» для детей старше 12 лет';'Художественный';'Россия';'Кино';'520.0';'400.0';'e'
'2163436';'Розыск - 2';'ООО "АЛЬЯНС ПРОФИ"';'2013';'Р.Мосафир';'А.Лариков';'С.Бешкуров';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Видео';'430.0';'331.0';'o'
'2163437';'Забойный реванш';'Каллахан Филмуоркс, Гербер Пикчерз, РэтПак - Дан Интертейнмент, Уорнер Бразерс';'2013';'Питер Сигал';'Тим Келлерхер, Родни Ротман';'Дин Семлер';'«16+» для детей старше 16 лет';'Художественный';'США';'Кино';'462.0';'330.0';'o'
'2163438';'Забойный реванш';'Каллахан Филмуоркс, Гербер Пикчерз, РэтПак - Дан Интертейнмент, Уорнер Бразерс';'2013';'Питер Сигал';'Тим Келлерхер, Родни Ротман';'Дин Семлер';'«16+» для детей старше 16 лет';'Художественный';'США';'Кино';'660.0';'550.0';'o'
'2163439';'Воровка книг /По книге Маркуса Зусака/';'Фокс 2000 Пикчерз, Студио Бабелсберг';'2013';'Брайан Персиваль';'Майкл Петрони';'Флориан Беллхаус';'«6+» для детей старше шести лет';'Художественный';'США|Германия';'Кино';'780.0';'650.0';'o'
'2163440';'Невероятная жизнь Уолтера Митти /По рассказу Джеймса Тербера/';'Рэд Хор Филмз, Сэмуэль Голдвин Филмз, Трэнорт Продакшнз, ХХ век Фокс';'2013';'Бен Стиллер';'Стив Конрад, Джеймс Турбер';'Дариуш Вольски';'«12+» для детей старше 12 лет';'Художественный';'США';'Кино';'410.0';'315.0';'o'
'2163441';'Облачно, возможны осадки в виде фрикаделек 2: Месть ГМО';'Коламбия Пикчерс, Сони Пикчерс Анимейшн, Сони Пикчерс Имиджуоркс';'2013';'Коуди Камерон, Крис Пирн';'Джон Фрэнсис Дейли, Джонатан М.Голдштейн';'';'«6+» для детей старше шести лет';'Художественный';'США';'Видео';'550.0';'393.0';'e'
'2163442';'Два ствола /По графическим рассказам Стивена Гранта/.';'Бум Интертейнмент, Эммет/Фурла Филмз, Энвижн Интертейнмент Корпорейшн, Форсайт Анлимитед, Херрик Интертейнмент, Голливуд Студиос Интернэшнл, Марк Платт Продакшнз, Ред Хилл Интертейнмент';'2013';'Бальтазар Кормакур';'Стивен Грант, Блейк Мастерс';'Оливер Вуд';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'460.0';'354.0';'o'
'2163443';'Два ствола /По графическим рассказам Стивена Гранта/.';'Бум Интертейнмент, Эммет/Фурла Филмз, Энвижн Интертейнмент Корпорейшн, Форсайт Анлимитед, Херрик Интертейнмент, Голливуд Студиос Интернэшнл, Марк Платт Продакшнз, Ред Хилл Интертейнмент';'2013';'Бальтазар Кормакур';'Стивен Грант, Блейк Мастерс';'Оливер Вуд';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'702.0';'585.0';'o'
'2163444';'За кадром';'3311 Продакшнз, Ин э Ворлд, Тим Джи';'2013';'Лэйк Белл';'Лэйк Белл';'Симус Тирни';'«18+» запрещено для детей';'Художественный';'США';'Видео';'560.0';'400.0';'o'
'2163445';'Пятая власть.';'Дримуоркс, Рилайэнс Интертейнмент, Партисипант Медиа, Анонимус Контент, Эф Би О';'2013';'Билл Кондон';'Дэниэль Домшайт-Берг, Люк Хардинг, Дэвид Ли';'Тобиас А.Шлисслер';'«16+» для детей старше 16 лет';'Художественный';'США';'Видео';'460.0';'329.0';'e'
'2163446';'Собутыльники';'Бёрн Лэйта Продакшнз';'2013';'Джо Сванберг';'Джо Сванберг';'Бен Ричардсон';'«18+» запрещено для детей';'Художественный';'США';'Видео';'462.0';'384.3';'o'
'2163447';'Тор 2: Царство тьмы.';'Марвел Интертейнмент';'2013';'Алан Тейлор';'Кристофер Йост, Стивен МакФили, Кристофер Маркус';'Крэмер Моргенто';'«12+» для детей старше 12 лет';'Художественный';'США';'Видео';'430.0';'358.0';'o'
'2163448';'Тор 2: Царство тьмы.';'Марвел Интертейнмент';'2013';'Алан Тейлор';'Кристофер Йост, Стивен МакФили, Кристофер Маркус';'Крэмер Моргенто';'«12+» для детей старше 12 лет';'Художественный';'США';'Видео';'560.0';'400.0';'o'
'2163449';'Тор 2: Царство тьмы.';'Марвел Интертейнмент';'2013';'Алан Тейлор';'Кристофер Йост, Стивен МакФили, Кристофер Маркус';'Крэмер Моргенто';'«12+» для детей старше 12 лет';'Художественный';'США';'Видео';'552.0';'425.0';'o'
'2163450';'Мультачки: Байки Мэтра';'Пиксар Анимэйшнс Студиос';'2008';'Роб Гиббс, Джон Лассетер, Виктор Нэвон';'Скотт Морс, Дерек Томпсон';'';'«0+» для любой зрительской аудитории';'Анимационный';'США';'Видео';'350.0';'250.0';'o'
